experiment,step,selection_probability
Qwen2.5-7B seed42 N200,50,0.3
Qwen2.5-7B seed42 N200,100,44.0
Qwen2.5-7B seed42 N200,150,2.1
Qwen2.5-7B seed42 N200,200,0.8
Qwen2.5-7B seed42 N200,250,0.5
Qwen2.5-7B seed42 N200,300,34.2
Qwen2.5-7B seed42 N200,350,2.4
Qwen2.5-7B seed42 N200,400,12.6
Qwen2.5-7B seed42 N200,450,1.5
Qwen2.5-7B seed42 N200,500,1.6
Mistral-7B seed42 N200,50,0.1
Mistral-7B seed42 N200,100,0.2
Mistral-7B seed42 N200,150,0.5
Mistral-7B seed42 N200,200,0.8
Mistral-7B seed42 N200,250,1.2
Mistral-7B seed42 N200,300,25.6
Mistral-7B seed42 N200,350,4.3
Mistral-7B seed42 N200,400,18.1
Mistral-7B seed42 N200,450,1.6
Mistral-7B seed42 N200,500,33.1
